Product_name,Product_price,Rate,Emotion,Review,Summary,Overall_Sentiment
Bose QuietComfort 45,14160,3.1,"['joy', 'love', 'anger', 'joy', 'fear', 'joy', 'love', 'sadness', 'joy', 'joy']","['Limited features for the price.', 'It gets hot after a short time.', 'Not as advertised.', 'Intuitive interface.', 'Too bulky for everyday use.', 'The quality is top-notch.', 'It gets hot after a short time.', 'It broke after a month of use.', 'Sturdy and well-built.', 'This product is a game changer.']",Limited features for the price. I wouldn't recommend this product.,joy
Bose SoundLink Revolve+,10490,2.8,"['joy', 'joy', 'joy', 'joy', 'love', 'anger', 'joy', 'anger', 'sadness', 'anger']","['Sturdy and well-built.', 'Fast and reliable.', 'Sturdy and well-built.', 'Fast and reliable.', 'It gets hot after a short time.', 'Very difficult to set up.', 'Perfect for my needs!', 'Not as advertised.', 'The sound quality is disappointing.', 'Very difficult to set up.']","Sturdy and well-built. Overall, it's a great choice.",joy
Canon EOS R6,13850,3.6,"['sadness', 'joy', 'joy', 'joy', 'sadness', 'joy', 'anger', 'joy', 'sadness', 'joy']","['The performance is underwhelming.', 'Not worth the price.', 'Absolutely love this!', 'Intuitive interface.', 'It broke after a month of use.', 'Fantastic performance!', 'Customer service was unhelpful.', 'Great value for the price.', 'The screen is too dim.', 'Works like a charm.']",The performance is underwhelming. I wouldn't recommend this product.,joy
DJI Mini 2,12390,2.7,"['joy', 'joy', 'anger', 'anger', 'anger', 'joy', 'joy', 'joy', 'joy', 'sadness']","[""Best purchase I've made this year."", 'Fast and reliable.', 'The app is very glitchy.', 'Not as advertised.', 'Very difficult to set up.', 'Sturdy and well-built.', 'Battery life could be better.', 'Battery life could be better.', 'Not worth the price.', 'The sound quality is disappointing.']","Best purchase I've made this year. Overall, it's a great choice.",joy
Dell XPS 13,12820,2.7,"['anger', 'anger', 'sadness', 'sadness', 'sadness', 'joy', 'sadness', 'joy', 'joy', 'joy']","['The app is very glitchy.', 'Very difficult to set up.', 'The screen is too dim.', 'It does not meet my expectations.', 'It does not meet my expectations.', 'This product exceeded my expectations.', 'Poor build quality.', 'Perfect for my needs!', 'Limited features for the price.', 'Highly recommend it for anyone in the market.']",The app is very glitchy. I wouldn't recommend this product.,sadness
Fitbit Charge 5,12280,3.3,"['joy', 'sadness', 'sadness', 'joy', 'joy', 'anger', 'joy', 'joy', 'fear', 'joy']","[""Best purchase I've made this year."", 'The performance is underwhelming.', 'The sound quality is disappointing.', 'Intuitive interface.', 'Battery life could be better.', 'The app is very glitchy.', 'Great value for the price.', 'Intuitive interface.', 'Lightweight and portable.', 'Limited features for the price.']","Best purchase I've made this year. Overall, it's a great choice.",joy
Garmin Forerunner 245,13050,3.6,"['joy', 'fear', 'joy', 'joy', 'sadness', 'anger', 'joy', 'joy', 'joy', 'joy']","['The quality is top-notch.', 'Too bulky for everyday use.', ""Best purchase I've made this year."", 'Very user-friendly.', 'It broke after a month of use.', 'Not as advertised.', 'Absolutely love this!', 'Intuitive interface.', 'Very user-friendly.', 'Intuitive interface.']","The quality is top-notch. Overall, it's a great choice.",joy
GoPro HERO10,14180,3.5,"['sadness', 'joy', 'joy', 'love', 'joy', 'joy', 'joy', 'sadness', 'fear', 'joy']","['The screen is too dim.', 'Fantastic performance!', 'Fast and reliable.', 'It gets hot after a short time.', 'Fast and reliable.', 'The quality is top-notch.', 'This product is a game changer.', 'Poor build quality.', 'Too bulky for everyday use.', 'This product exceeded my expectations.']",The screen is too dim. I wouldn't recommend this product.,joy
Google Nest Hub (2nd Gen),10780,2.5,"['joy', 'anger', 'sadness', 'sadness', 'joy', 'joy', 'sadness', 'joy', 'anger', 'sadness']","['Limited features for the price.', 'I had some issues with the setup.', 'Poor build quality.', 'It broke after a month of use.', 'Absolutely love this!', 'Intuitive interface.', 'The sound quality is disappointing.', 'The quality is top-notch.', 'I had some issues with the setup.', 'Poor build quality.']",Limited features for the price. I wouldn't recommend this product.,joy
Google Pixel 7,13610,3.5,"['joy', 'joy', 'joy', 'joy', 'joy', 'love', 'joy', 'joy', 'sadness', 'joy']","['Sound quality is outstanding!', ""Best purchase I've made this year."", 'Intuitive interface.', 'Limited features for the price.', 'Battery life could be better.', 'It gets hot after a short time.', 'Fantastic performance!', 'Sound quality is outstanding!', 'Poor build quality.', 'Great value for the price.']","Sound quality is outstanding! Overall, it's a great choice.",joy
HP Spectre x360,14940,3.0,"['sadness', 'joy', 'sadness', 'sadness', 'anger', 'joy', 'joy', 'joy', 'joy', 'joy']","['The sound quality is disappointing.', 'Works like a charm.', 'It does not meet my expectations.', 'It broke after a month of use.', 'The app is very glitchy.', 'Limited features for the price.', 'Absolutely love this!', 'Intuitive interface.', 'Sturdy and well-built.', 'Sturdy and well-built.']",The sound quality is disappointing. I wouldn't recommend this product.,joy
JBL Flip 6,11560,3.1,"['sadness', 'sadness', 'joy', 'sadness', 'joy', 'joy', 'joy', 'sadness', 'sadness', 'joy']","['It does not meet my expectations.', 'Poor build quality.', 'Battery life could be better.', 'It broke after a month of use.', ""Best purchase I've made this year."", 'Works like a charm.', 'This product exceeded my expectations.', 'It does not meet my expectations.', 'The screen is too dim.', 'Not worth the price.']",It does not meet my expectations. I wouldn't recommend this product.,sadness
LG C2 OLED TV,13020,2.6,"['anger', 'fear', 'sadness', 'anger', 'joy', 'joy', 'fear', 'anger', 'sadness', 'anger']","['Customer service was unhelpful.', 'Too bulky for everyday use.', 'The screen is too dim.', 'The app is very glitchy.', 'This product exceeded my expectations.', 'This product is a game changer.', 'Too bulky for everyday use.', 'The app is very glitchy.', 'The screen is too dim.', 'Customer service was unhelpful.']",Customer service was unhelpful. I wouldn't recommend this product.,anger
Lenovo ThinkPad X1 Carbon,11400,3.6,"['anger', 'joy', 'anger', 'joy', 'joy', 'joy', 'joy', 'joy', 'joy', 'joy']","['Very difficult to set up.', 'This product is a game changer.', 'Not as advertised.', 'Highly recommend it for anyone in the market.', 'This product is a game changer.', ""Best purchase I've made this year."", 'Perfect for my needs!', 'Not worth the price.', 'Battery life could be better.', 'Limited features for the price.']",Very difficult to set up. I wouldn't recommend this product.,joy
Logitech MX Master 3,13800,2.9,"['anger', 'anger', 'joy', 'sadness', 'anger', 'fear', 'joy', 'joy', 'anger', 'love']","['Very difficult to set up.', 'Not as advertised.', 'Highly recommend it for anyone in the market.', 'It broke after a month of use.', 'Very difficult to set up.', 'Too bulky for everyday use.', ""Best purchase I've made this year."", 'Intuitive interface.', 'I had some issues with the setup.', 'It gets hot after a short time.']",Very difficult to set up. I wouldn't recommend this product.,anger
Microsoft Surface Laptop 5,11740,3.6,"['joy', 'joy', 'sadness', 'joy', 'joy', 'joy', 'anger', 'sadness', 'joy', 'anger']","['Sound quality is outstanding!', 'Sound quality is outstanding!', 'Poor build quality.', 'Very user-friendly.', 'Absolutely love this!', 'Great value for the price.', 'I had some issues with the setup.', 'The screen is too dim.', 'Works like a charm.', 'The app is very glitchy.']","Sound quality is outstanding! Overall, it's a great choice.",joy
Microsoft Surface Pro 9,11190,3.5,"['joy', 'fear', 'anger', 'joy', 'anger', 'fear', 'sadness', 'joy', 'anger', 'joy']","['This product exceeded my expectations.', 'Too bulky for everyday use.', 'Very difficult to set up.', 'This product exceeded my expectations.', 'Not as advertised.', 'Lightweight and portable.', 'It broke after a month of use.', 'Sturdy and well-built.', 'Not as advertised.', 'Absolutely love this!']","This product exceeded my expectations. Overall, it's a great choice.",joy
NVIDIA GeForce RTX 4090,10430,2.4,"['anger', 'anger', 'sadness', 'sadness', 'joy', 'anger', 'joy', 'sadness', 'joy', 'love']","['Not as advertised.', 'Very difficult to set up.', 'The screen is too dim.', 'The sound quality is disappointing.', 'Intuitive interface.', 'Not as advertised.', 'Battery life could be better.', 'Poor build quality.', 'Intuitive interface.', 'It gets hot after a short time.']",Not as advertised. I wouldn't recommend this product.,anger
Nikon Z6 II,13490,3.8,"['joy', 'anger', 'anger', 'joy', 'joy', 'anger', 'joy', 'love', 'joy', 'joy']","['Absolutely love this!', 'I had some issues with the setup.', 'Customer service was unhelpful.', 'Absolutely love this!', 'Sound quality is outstanding!', 'The app is very glitchy.', 'Great value for the price.', 'It gets hot after a short time.', 'Fast and reliable.', 'Highly recommend it for anyone in the market.']","Absolutely love this! Overall, it's a great choice.",joy
Oculus Quest 2,12420,1.7,"['sadness', 'joy', 'joy', 'sadness', 'anger', 'joy', 'love', 'sadness', 'sadness', 'sadness']","['The performance is underwhelming.', 'Limited features for the price.', 'Battery life could be better.', 'Poor build quality.', 'Not as advertised.', 'Limited features for the price.', 'It gets hot after a short time.', 'It broke after a month of use.', 'It broke after a month of use.', 'The performance is underwhelming.']",The performance is underwhelming. I wouldn't recommend this product.,sadness
OnePlus 11,11330,2.8,"['joy', 'anger', 'joy', 'joy', 'anger', 'fear', 'joy', 'anger', 'fear', 'joy']","['Perfect for my needs!', 'I had some issues with the setup.', 'Absolutely love this!', 'Battery life could be better.', 'Very difficult to set up.', 'Lightweight and portable.', 'Sturdy and well-built.', 'Customer service was unhelpful.', 'Too bulky for everyday use.', 'Limited features for the price.']","Perfect for my needs! Overall, it's a great choice.",joy
Philips Hue White and Color Ambiance,14540,3.5,"['anger', 'joy', 'joy', 'joy', 'sadness', 'joy', 'joy', 'joy', 'joy', 'joy']","['The app is very glitchy.', 'This product is a game changer.', 'Battery life could be better.', 'Works like a charm.', 'It does not meet my expectations.', 'Intuitive interface.', 'Not worth the price.', 'Fast and reliable.', ""Best purchase I've made this year."", 'Intuitive interface.']",The app is very glitchy. I wouldn't recommend this product.,joy
Razer Huntsman Elite,11190,3.3,"['joy', 'joy', 'joy', 'fear', 'joy', 'joy', 'fear', 'anger', 'sadness', 'joy']","['Absolutely love this!', 'This product exceeded my expectations.', 'Works like a charm.', 'Too bulky for everyday use.', 'The quality is top-notch.', 'The quality is top-notch.', 'Too bulky for everyday use.', 'Very difficult to set up.', 'The sound quality is disappointing.', 'Perfect for my needs!']","Absolutely love this! Overall, it's a great choice.",joy
Ring Video Doorbell Pro 2,12510,3.9,"['anger', 'joy', 'sadness', 'joy', 'joy', 'love', 'joy', 'joy', 'joy', 'joy']","['The app is very glitchy.', 'Highly recommend it for anyone in the market.', 'It does not meet my expectations.', 'Fantastic performance!', 'Highly recommend it for anyone in the market.', 'It gets hot after a short time.', 'Absolutely love this!', 'Works like a charm.', 'Battery life could be better.', 'Works like a charm.']",The app is very glitchy. I wouldn't recommend this product.,joy
Samsung Galaxy Buds2,13190,2.4,"['fear', 'sadness', 'joy', 'joy', 'sadness', 'joy', 'anger', 'anger', 'fear', 'love']","['Too bulky for everyday use.', 'It does not meet my expectations.', 'Limited features for the price.', 'This product is a game changer.', 'The performance is underwhelming.', ""Best purchase I've made this year."", 'I had some issues with the setup.', 'Very difficult to set up.', 'Too bulky for everyday use.', 'It gets hot after a short time.']",Too bulky for everyday use. I wouldn't recommend this product.,joy
Samsung Galaxy S23,10750,2.7,"['sadness', 'fear', 'joy', 'sadness', 'joy', 'joy', 'sadness', 'love', 'sadness', 'joy']","['The performance is underwhelming.', 'Too bulky for everyday use.', 'Battery life could be better.', 'It does not meet my expectations.', 'Very user-friendly.', 'Absolutely love this!', 'It does not meet my expectations.', 'It gets hot after a short time.', 'It broke after a month of use.', 'Not worth the price.']",The performance is underwhelming. I wouldn't recommend this product.,sadness
Samsung Galaxy Watch 5,11830,2.9,"['sadness', 'joy', 'anger', 'sadness', 'anger', 'joy', 'joy', 'anger', 'sadness', 'sadness']","['Poor build quality.', 'This product exceeded my expectations.', 'Customer service was unhelpful.', 'The sound quality is disappointing.', 'Not as advertised.', 'Sound quality is outstanding!', 'Intuitive interface.', 'I had some issues with the setup.', 'It does not meet my expectations.', 'It does not meet my expectations.']",Poor build quality. I wouldn't recommend this product.,sadness
Samsung QN90A Neo QLED TV,12200,3.4,"['joy', 'anger', 'joy', 'joy', 'joy', 'sadness', 'sadness', 'joy', 'fear', 'joy']","['This product exceeded my expectations.', 'Not as advertised.', 'The quality is top-notch.', 'Sturdy and well-built.', ""Best purchase I've made this year."", 'The performance is underwhelming.', 'The sound quality is disappointing.', 'Perfect for my needs!', 'Too bulky for everyday use.', 'Works like a charm.']","This product exceeded my expectations. Overall, it's a great choice.",joy
Sony PlayStation 5,13890,2.4,"['fear', 'love', 'anger', 'sadness', 'sadness', 'joy', 'sadness', 'sadness', 'joy', 'love']","['Lightweight and portable.', 'It gets hot after a short time.', 'The app is very glitchy.', 'The sound quality is disappointing.', 'The sound quality is disappointing.', 'Sound quality is outstanding!', 'It does not meet my expectations.', 'The sound quality is disappointing.', 'Battery life could be better.', 'It gets hot after a short time.']","Lightweight and portable. Overall, it's a great choice.",sadness
Sony WH-1000XM5,10430,2.5,"['joy', 'sadness', 'sadness', 'love', 'sadness', 'joy', 'joy', 'anger', 'sadness', 'anger']","['This product exceeded my expectations.', 'It broke after a month of use.', 'The screen is too dim.', 'It gets hot after a short time.', 'Poor build quality.', 'Absolutely love this!', 'Limited features for the price.', 'Not as advertised.', 'It broke after a month of use.', 'I had some issues with the setup.']","This product exceeded my expectations. Overall, it's a great choice.",sadness
TP-Link Kasa Smart Wi-Fi Plug,12400,3.7,"['sadness', 'anger', 'joy', 'joy', 'joy', 'joy', 'joy', 'love', 'joy', 'sadness']","['It broke after a month of use.', 'The app is very glitchy.', 'Sturdy and well-built.', 'Very user-friendly.', 'The quality is top-notch.', 'Sound quality is outstanding!', 'Highly recommend it for anyone in the market.', 'It gets hot after a short time.', 'Sturdy and well-built.', 'The performance is underwhelming.']",It broke after a month of use. I wouldn't recommend this product.,joy
Wyze Cam v3,14080,3.0,"['fear', 'joy', 'joy', 'anger', 'joy', 'joy', 'sadness', 'love', 'anger', 'sadness']","['Lightweight and portable.', 'Fast and reliable.', 'Fantastic performance!', 'Customer service was unhelpful.', 'Very user-friendly.', 'Battery life could be better.', 'Poor build quality.', 'It gets hot after a short time.', 'I had some issues with the setup.', 'It broke after a month of use.']","Lightweight and portable. Overall, it's a great choice.",joy
Xbox Series X,10020,3.1,"['joy', 'sadness', 'love', 'joy', 'joy', 'joy', 'anger', 'sadness', 'joy', 'sadness']","['Intuitive interface.', 'It does not meet my expectations.', 'It gets hot after a short time.', 'Great value for the price.', 'Works like a charm.', 'Perfect for my needs!', 'Customer service was unhelpful.', 'Poor build quality.', 'Fantastic performance!', 'It broke after a month of use.']","Intuitive interface. Overall, it's a great choice.",joy
